time	V(out)
Step Information: Run=1  (Run: 1/100)
4.971230210839667e-04	1.483070e-01
4.975656413088755e-04	2.535234e-01
4.980515466660870e-04	3.787700e-01
4.985799607773181e-04	5.040498e-01
4.991757161336990e-04	6.146889e-01
5.000000000000000e-04	7.310252e-01
5.002659353069938e-04	7.494344e-01
5.006205157163189e-04	7.649664e-01
5.013296765349692e-04	7.827067e-01
5.021756839557306e-04	7.934675e-01
5.034999740706269e-04	8.012142e-01
5.088377261722309e-04	8.104718e-01
5.434225289561079e-04	8.160699e-01
1.500000000000000e-03	8.176593e-01
1.510000000000000e-03	8.176593e-01
9.490468749999840e-03	8.176593e-01
9.998281249999829e-03	8.176593e-01
1.000000000000000e-02	8.176593e-01
Step Information: Run=12  (Run: 12/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.987494178862649e-04	5.044085e-06
4.988480190830428e-04	3.193054e-05
4.989142313946826e-04	1.109549e-04
4.989579677831883e-04	2.117390e-04
4.990068793981620e-04	3.874836e-04
4.990804398294174e-04	7.972874e-04
4.991668474656947e-04	1.546417e-03
4.992781626006152e-04	3.048418e-03
4.994153757869087e-04	5.920603e-03
4.995957360184876e-04	1.175718e-02
4.998292762288125e-04	2.260727e-02
5.000000000000000e-04	3.263424e-02
5.000908854514106e-04	3.894569e-02
5.002120660532913e-04	4.694440e-02
5.004544272570528e-04	6.161014e-02
5.009391496645756e-04	8.662371e-02
5.019085944796214e-04	1.265370e-01
5.029009907048450e-04	1.569838e-01
5.043092593324768e-04	1.874894e-01
5.058264368824651e-04	2.103870e-01
5.080341119062799e-04	2.327879e-01
5.105862665418999e-04	2.499089e-01
5.142888258706358e-04	2.656692e-01
5.187947802797200e-04	2.776110e-01
5.254402429535481e-04	2.881147e-01
5.339946910453864e-04	2.961833e-01
5.437603160453864e-04	3.017146e-01
5.632915660453864e-04	3.075629e-01
6.023540660453864e-04	3.125638e-01
7.097759410453865e-04	3.167862e-01
1.178525941045387e-03	3.195721e-01
1.500000000000000e-03	3.199718e-01
1.510000000000000e-03	3.199718e-01
9.441640624999841e-03	3.199718e-01
9.998281249999829e-03	3.199718e-01
1.000000000000000e-02	3.199718e-01
Step Information: Run=13  (Run: 13/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.950659066563514e-04	4.951154e-15
4.955202015894040e-04	3.690600e-05
4.956256320442576e-04	1.307491e-04
4.956862942123184e-04	3.082078e-04
4.957412778441940e-04	6.234891e-04
4.957911789514323e-04	1.100614e-03
4.958642495180712e-04	2.190081e-03
4.959469888421678e-04	4.107744e-03
4.960607758079916e-04	8.194181e-03
4.961956490439069e-04	1.571325e-02
4.963779129534319e-04	3.141756e-02
4.966081911313850e-04	6.200523e-02
4.969376370519279e-04	1.287751e-01
4.974742819604872e-04	2.759926e-01
4.979161912215413e-04	4.153320e-01
4.983706617771731e-04	5.514702e-01
4.988718608557302e-04	6.659085e-01
4.994917684471902e-04	7.582259e-01
5.000000000000000e-04	8.079640e-01
5.002665345856946e-04	8.196445e-01
5.006219140332875e-04	8.287722e-01
5.013326729284732e-04	8.382390e-01
5.023058241023789e-04	8.440902e-01
5.038581918218783e-04	8.478612e-01
5.099969345999318e-04	8.517541e-01
5.658675207118941e-04	8.540489e-01
1.500000000000000e-03	8.544399e-01
1.510000000000000e-03	8.544399e-01
9.461171874999841e-03	8.544399e-01
9.998281249999829e-03	8.544399e-01
1.000000000000000e-02	8.544399e-01
Step Information: Run=14  (Run: 14/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.953898543867498e-04	4.954394e-15
4.963749805302698e-04	8.728717e-05
4.966152355322741e-04	3.355190e-04
4.967297419989322e-04	7.658460e-04
4.968042585510215e-04	1.374998e-03
4.968843278674231e-04	2.486829e-03
4.969855338115714e-04	4.689897e-03
4.971169175873831e-04	9.121405e-03
4.972843676827749e-04	1.787017e-02
4.975066414667318e-04	3.579862e-02
4.978141805073724e-04	7.395842e-02
4.983194346194586e-04	1.624192e-01
4.988988239712183e-04	2.861289e-01
4.994861249656944e-04	4.161135e-01
5.000000000000000e-04	5.223460e-01
5.001760575044806e-04	5.476863e-01
5.004108008437881e-04	5.724548e-01
5.008802875224030e-04	6.055441e-01
5.014727711559654e-04	6.304981e-01
5.022595384816994e-04	6.485742e-01
5.032761345771274e-04	6.611514e-01
5.048474513972643e-04	6.712753e-01
5.071100229091252e-04	6.786143e-01
5.107306270111345e-04	6.841402e-01
5.257642639242686e-04	6.907746e-01
6.624830139242687e-04	6.946551e-01
1.500000000000000e-03	6.952589e-01
1.510000000000000e-03	6.952589e-01
9.490468749999840e-03	6.952589e-01
9.998281249999829e-03	6.952589e-01
1.000000000000000e-02	6.952589e-01
Step Information: Run=15  (Run: 15/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
5.000000000000000e-04	5.000500e-15
1.500000000000000e-03	1.500150e-14
1.510000000000000e-03	1.510151e-14
9.695546874999836e-03	9.696517e-14
9.998281249999829e-03	9.999281e-14
1.000000000000000e-02	1.000100e-13
Step Information: Run=16  (Run: 16/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
5.000000000000000e-04	5.000500e-15
1.500000000000000e-03	1.500150e-14
1.510000000000000e-03	1.510151e-14
9.695546874999836e-03	9.696517e-14
9.998281249999829e-03	9.999281e-14
1.000000000000000e-02	1.000100e-13
Step Information: Run=17  (Run: 17/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
5.000000000000000e-04	5.000500e-15
1.500000000000000e-03	1.500150e-14
1.510000000000000e-03	1.510151e-14
9.617421874999837e-03	9.618384e-14
9.998281249999829e-03	9.999281e-14
1.000000000000000e-02	1.000100e-13
Step Information: Run=18  (Run: 18/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
5.000000000000000e-04	5.000500e-15
1.500000000000000e-03	1.500150e-14
1.510000000000000e-03	1.510151e-14
9.695546874999836e-03	9.696517e-14
9.998281249999829e-03	9.999281e-14
1.000000000000000e-02	1.000100e-13
Step Information: Run=19  (Run: 19/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.988060885265514e-04	1.710765e-07
4.991885892687419e-04	2.317911e-05
4.993203340974638e-04	8.432357e-05
4.993878776046735e-04	1.822839e-04
4.994509281528654e-04	3.589555e-04
4.995112080237390e-04	6.370532e-04
4.995983646432241e-04	1.262935e-03
4.996981196816957e-04	2.376571e-03
4.998341408047676e-04	4.730127e-03
5.000000000000000e-04	8.558443e-03
5.002014023203502e-04	1.453961e-02
5.004093014897440e-04	2.043079e-02
5.008250998285316e-04	3.142865e-02
5.016566965061068e-04	5.077320e-02
5.033198898612571e-04	8.277453e-02
5.052435124882616e-04	1.114199e-01
5.078792905580204e-04	1.400754e-01
5.108515701687558e-04	1.630034e-01
5.148323142832249e-04	1.840613e-01
5.195999138055028e-04	2.010031e-01
5.261206821768509e-04	2.159970e-01
5.342743677225696e-04	2.278651e-01
5.440399927225696e-04	2.368577e-01
5.538056177225696e-04	2.428861e-01
5.733368677225696e-04	2.503902e-01
6.026337427225696e-04	2.564475e-01
6.612274927225697e-04	2.620111e-01
7.881806177225698e-04	2.662970e-01
1.188571242722570e-03	2.694319e-01
1.500000000000000e-03	2.701282e-01
1.510000000000000e-03	2.701282e-01
9.500234374999840e-03	2.701282e-01
9.998281249999829e-03	2.701282e-01
1.000000000000000e-02	2.701282e-01
Step Information: Run=20  (Run: 20/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
5.000000000000000e-04	5.000500e-15
1.500000000000000e-03	1.500150e-14
1.510000000000000e-03	1.510151e-14
9.646718749999837e-03	9.647684e-14
9.998281249999829e-03	9.999281e-14
1.000000000000000e-02	1.000100e-13
Step Information: Run=21  (Run: 21/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.968359375000001e-04	4.968856e-15
4.980733423592805e-04	9.233340e-05
4.986004765235502e-04	4.839468e-04
4.987978320727522e-04	1.144697e-03
4.989090637217175e-04	2.082317e-03
4.990299617443606e-04	3.888290e-03
4.991651084578757e-04	7.099860e-03
4.993530090986216e-04	1.402121e-02
4.995841452921630e-04	2.720106e-02
4.999086975464784e-04	5.249140e-02
5.000000000000000e-04	6.117571e-02
5.001168897394762e-04	7.346398e-02
5.002727427254445e-04	8.884640e-02
5.005844486973811e-04	1.164401e-01
5.012078606412543e-04	1.620431e-01
5.022976397695224e-04	2.230033e-01
5.034153986424520e-04	2.672724e-01
5.049149522796504e-04	3.070008e-01
5.065643693674607e-04	3.358719e-01
5.088976758644138e-04	3.618905e-01
5.116699718514602e-04	3.812256e-01
5.156640342665523e-04	3.979018e-01
5.206983671400201e-04	4.102146e-01
5.281988540798371e-04	4.204934e-01
5.379644790798371e-04	4.280913e-01
5.574957290798372e-04	4.352958e-01
6.063238540798372e-04	4.412894e-01
7.918707290798374e-04	4.457165e-01
1.500000000000000e-03	4.474733e-01
1.510000000000000e-03	4.474733e-01
9.529531249999839e-03	4.474733e-01
9.998281249999829e-03	4.474733e-01
1.000000000000000e-02	4.474733e-01
Step Information: Run=22  (Run: 22/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.939101536135349e-04	4.939595e-15
4.958710858406046e-04	2.466267e-04
4.963261477403838e-04	1.162535e-03
4.965436855063648e-04	2.989191e-03
